,dates,titles,tag,descriptions
"
2552,"August 14, 2014","HSI, Dominican authorities dismantle human trafficking ring",|Human Smuggling/Trafficking,"The victims ranged in age from 14 to 17 years old, and were forced into prostitution in the Boca Chica area. Sixteen of the 25 victims were minors; 12 were girls and four were boys."
2553,"August 11, 2014",14 individuals charged with trafficking identities of Puerto Rican US citizens,|Document and Benefit Fraud,"According to the indictments, from at least July 2008 to April 2014, conspirators in the United States and Puerto Rico, a U.S. territory, sold the identities of Puerto Rican U.S. citizens, corresponding Social Security cards, Puerto Rico birth certificates and other identification documents to illegal aliens and others residing in the United States."
2554,"August 6, 2014",7 alleged human smuggling network members arrested in Guatemala,|Human Smuggling/Trafficking,"The individuals arrested in Quetzaltenango were: Antonio Rolando Chavez Paxtor, Maricela Isabel Gonzalez Hernandez, Eliseo Alvarado Gonzalez, Marciano Alvarado Gonzalez, Antonio Adonias Gonzalez Hernandez, Genaro Elias Jimenez and Pablo Arnoldo Gomez-Gonzalez. Two other members of this organization were arrested in Mexican territory: Douglas Ivan Aguilar-Juarez and Milton Rocael Sebastian Cardona."
2555,"August 3, 2014",Military ‘HEROs’ prepare for new mission: protecting children,|Child Exploitation,"The HER​O​ Child-Rescue Corps internship is a private-public partnership between the National Association to Protect Children (PROTECT), HSI and U.S. Special Operations Command, in which carefully selected veterans are trained in digital forensics and child exploitation work and then embedded in HSI field offices around the country."
2556,"July 31, 2014",'Geographic Targeting Order' shines spotlight on cross-border cash couriers,|Financial Crimes,"FinCEN also issued updated guidance concerning detailed and proper filing of Currency and Monetary Instruments Reports (CMIRs), which are filed when $10,000 or more in currency is moved across the U.S. border."
2557,"July 28, 2014",FEATURE: SEVP requires US schools to update accreditation information in SEVIS,|Student and Exchange Visitor Program,"U.S. schools must complete the Web-based Form I-17, ""Petition for Approval of School for Attendance by Nonimmigrant Students,"" before they can enroll international students. This form consists of several fields about the school, including its full legal name, mailing address, type of educational programs offered, accreditation information and more."
2558,"June 29, 2014",Michigan man profiled in HSI's Operation Predator app sentenced to 8 years,|Child Exploitation,"Mark Robert Austin, 49, was arrested Sept. 13, 2013, without incident by HSI and FBI special agents along with officers from the Michigan State Police in the Flint area after numerous tips from the public were called in to the ICE tip line. Austin's arrest came less than 36 hours after the announcement of the smartphone app, which was designed to solicit information from the public about wanted suspected child predators."
2559,"June 29, 2014","ICE's top 5 news stories for the week ending June 27, 2014",|Operational,"ICE's top 5 news stories for the week ending June 27, 2014"
2560,"June 19, 2014","FEATURE: SEVP streamlines DSO update process, unveils guide to assist schools",|Student and Exchange Visitor Program,"PDSOs and DSOs play an important role in the national security process. They enter data into the Student and Exchange Visitor Information System (SEVIS) on behalf of U.S. schools. It's essential this information is accurate and current since it is used by law enforcement and government agencies, when necessary."
2561,"June 18, 2014",Fugitive extradited to Hong Kong to face criminal charges,|Enforcement and Removal,"Zeng Wei, 51, a major shareholder and director of United Win Holdings Limited, was arrested Jan. 27 by HSI special agents. Zeng later waived his right for the extradition proceedings in the United States and agreed to surrender himself to Hong Kong voluntarily.
"
2562,"June 16, 2014",HSI holds discussions with European cybercrime experts on the criminal exploitation of virtual currencies,|Financial Crimes,"The group of financial and cybercrime investigators, as well as prosecutors, discussed ongoing worldwide criminal cases, involving the criminal use of virtual currencies to purchase, among other items, narcotics and contraband online. Participants at this first-ever international meeting of law enforcement on the criminal exploitation of virtual currencies voiced concerns over the anonymity of financial transactions through some virtual currencies, such as Bitcoin, and the challenges this poses to ""following the money"" during criminal investigations."
2563,"June 15, 2014",Maryland man sentenced to prison for 2 residential mortgage fraud schemes,|Financial Crimes,"Mokorya Cosmas Wambura was sentenced June 16 by Chief U.S. District Judge Deborah K. Chasanow who also ordered Wambura to pay restitution of more than $400,000."
2564,"June 15, 2014",News report on Child Exploitation Investigation Unit efforts earns Emmy,|Child Exploitation,"The Child Exploitation Investigations Unit is a powerful tool in ICE's fight against the sexual exploitation of children, including the production, advertisement and distribution of child pornography and child sex tourism. The unit uses sophisticated investigative techniques to target violators who operate on the Internet, including the use of websites, email, chat rooms and file-sharing applications."
2565,"June 9, 2014",HSI participates in human trafficking awareness seminar for Mexican officials,|Human Smuggling/Trafficking,"More than 90 officials from the Attorney General of Mexico (PGR), state attorney general offices (PGJ), the Mexican Federal Police (CNS) and the National Immigration Institute (INM) participated. The participants explored how to identify potential human traffickers and victims of human trafficking and related crimes. One of the objectives of the conference was to increase collaboration between the United States and Mexico to combat human trafficking."
2566,"June 8, 2014",HSI Shadow Wolves train Polish border guards,|Contraband,"HSI Shadow Wolves trained 12 Polish border guards, who already have experience in tracking, on instruction techniques so they can share their experience and knowledge with their colleagues.
"
2567,"June 5, 2014",ICE wins 2014 Federal Green Challenge award,|Operational,"The Federal Green Challenge is a national effort under EPA's Sustainable Materials Management Program, which challenges EPA and other federal agencies throughout the country to lead by example in reducing the federal government's environmental impact."
2568,"June 3, 2014","3 looted, ancient statues repatriated to Cambodia","|Cultural Property, Art and Antiquities Investigations","Joint efforts by the U.S. Embassy in Phnom Penh, the U.S. Department of State, HSI and the U.S. Attorney's Office for the Southern District of New York led to the voluntary return of three statues to Cambodia. All the statues will be on display to the public in the National Museum of Cambodia, reunited with their pedestals."
